Headline,Body ID,Stance
That Boko Haram Ceasefire in Nigeria Isn’t A Ceasefire,2045,unrelated
Abdel Majed Abdel Bary Emerges as Suspect in Foley Beheading,1478,unrelated
Isis video claims to show beheading of British hostage David Haines,1843,unrelated
Kim Yo-jong in Charge: Kim Jong-un's Sister 'Replaces' North Korean Dictator During Illness,2473,discuss
Congressman: ‘At least 10 ISIS fighters’ caught trying to cross into US,1637,unrelated
Canada probes Michael Zehaf-Bibeau as possible suspect in Ottawa shooting - source,440,discuss
Lebanon detains wife and son of Al-Baghdadi,1192,discuss
Questions raised over Nicaragua 'meteorite',885,discuss
The @FoxNewsPress Account Tweeting Lawsuit Threats Is a Fake,387,unrelated
ISIS Beheads Kidnapped Photojournalist James Wright Foley in Horrific Video Message to the U.S.,1569,unrelated
REPORT: The Batmobile Might Have Been Stolen In Detroit,1751,discuss
Nicaraguan commission on possible meteorite crash presents rock samples,388,unrelated
6 Islamist militants killed in US attack in Somalia,1720,unrelated
NYC relaxes response to marijuana possession,269,unrelated
Isis militants claim to have killed US journalist James Foley,2450,discuss
DHS: GOP Rep.’s Claim ISIS Members Caught at U.S. Border ‘Categorically False’,2039,unrelated
Boko Haram denies it has agreed ceasefire,1821,discuss
Officials Refute Iraqi Media Reports That ISIS Members Have Contracted Ebola In Mosul,2075,discuss
WHO investigates media reports ISIS fighters contracted Ebola,720,unrelated
Report: Christian Bale Will Play Steve Jobs,830,unrelated
Chugging eggnog at office party lands man in hospital,1627,unrelated
Pictured: Recent Muslim convert Michael Zehaf-Bibeau who shot dead a solider and opened fire on Canadian Parliament,107,unrelated
Schoolboy almost killed by electric shock claims he now has superpowers like Magneto,704,unrelated
A New iOS 8 Bug Can Delete All Of Your iCloud Documents,2061,unrelated
6 hidden mass graves may hold missing Mexican students,2342,discuss
Enormous 20-stone catfish caught with fishing rod in Italy after 40-minute boat battle,1183,unrelated
Dog found abandoned outside railway station with suitcase of his belongings,1966,unrelated
URGENT: ISIS leader Abu Bakr al-Baghdadi allegedly killed by US airstrikes,1634,discuss
Was The Video Of That Homeless Man Doing Good Deeds With $100 All An Elaborate Hoax!?,1820,unrelated
CARLISLE HEAD SLAPPER ATTACKS SNEEZING WOMEN,678,unrelated
Apple Orders More Than 5 Million Watches for Initial Run,2492,unrelated
Boko Haram ceasefire ignored as violence flares in Borno state,2088,unrelated
New York City Plans to End Arrests for Possession of Small Amounts of Marijuana,1875,unrelated
CNN plays chilling audio recording allegedly from Michael Brown shooting: “At least 11 shots”,1808,unrelated
"Cloistered nun gives birth to a baby  The convent: ""There is a sister"" [Google Translate]",1720,discuss
Angry mob cut off rapist’s penis with meat cleaver (VIEWER DISCRETION),125,unrelated
Canadian official identifies dead Ottawa gunman as Michael Zehaf-Bibeau,298,discuss
Judd Nelson isn't dead; report is a hoax,2481,unrelated
ISIS Beheads American Journalist James Foley in Video Message to U.S.,2109,unrelated
Is Kim Jong-un Opening North Korean Restaurant in Scotland?,955,unrelated
Kim Jong-un ‘is so fat from eating cheese that he has broken his ankles’,1103,unrelated
Report: Former Baseball Star Jose Canseco Accidentally Shot At Home,2096,unrelated
ISIS executioner 'Jihadi John' identified as Mohammed Emwazi,1800,discuss
ADVISORY-Islamist rebel leader killed in U.S. strike - Somali government,1024,unrelated
Viral Photo Shows How Chinese Workers Are Used to Manipulate App Store Rankings,1073,unrelated
Obama denounces killing of journalist James Foley and pledges ‘justice’,539,unrelated
Pentagon Denies It Killed ISIS Chief As Airstrikes Hit Top Extremists,1125,unrelated
Weaponized Ebola? ISIS Militants Said To Contract Deadly Virus,1385,unrelated
Missing jetliners raise fear of new 9/11-style attacks after Libyan airport falls to Islamic militants,2309,unrelated
Islamic State releases video apparently showing the beheading of missing US journalist James Foley,11,unrelated
Rapper identified as James Foley's executioner: reports,2434,unrelated
Audio may have captured Michael Brown shooting,1403,unrelated
Isis militants claim to have killed US journalist James Foley,1547,unrelated
Nigerians doubtful of girls' release after Boko Haram 'truce' breached,2403,discuss
This Powerful Cartoon About The Charlie Hebdo Attack Is Not By Banksy,526,unrelated
Christian Bale in Talks to Play Steve Jobs in Danny Boyle's Biopic,686,unrelated
Somali terrorist leader dead after US airstrike,1543,unrelated
North Korea denies reports Kim Jong-un is to open state-backed restaurant in Scotland,1120,unrelated
#Hairgate: iPhone 6 users say device pulls out hair,2276,discuss
Lawmaker Says ‘At Least 10′ Islamic State Fighters Have Been Captured at the Southern U.S. Border,2307,unrelated
'Jihadi John': Isis fighter named as Mohammed Emwazi from west London,1465,unrelated
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,1627,unrelated
Homeland Security: No ISIL fighters on U.S. border,186,unrelated
Iraqi media says ISIS militants have contracted Ebola,950,unrelated
'Hairgate': iPhone 6 users encounter latest Apple problem after 'bendgate',109,discuss
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,320,unrelated
New iOS 8 bug can delete all of your iCloud documents,115,unrelated
Apple Watch Gold Edition rumored to be priced at $1200: Will you buy?,424,discuss
Meteorite leaves crater in Nicaraguan capital Managua,1179,unrelated
Airport worker strips naked at security scanner in protest against guards,1831,unrelated
Nicaragua Meteorite Impact Theory May Be Meteor-wrong,1917,unrelated
Former British Rapper Reportedly Under Investigation for James Foley Beheading,2295,unrelated
The famous “Dog whisperer” Cesar Millan died of a heart attack this morning.,1968,unrelated
Kim Had Ankle Surgery:  Source,2175,unrelated
Ottawa shooting: Slain soldier named as Nathan Cirillo while suspect identified as Michael Zehaf-Bibeau,2134,unrelated
ISIL Beheads American Photojournalist in Iraq,632,discuss
ISIS: Desperate mum told 'you've just eaten your son' after visiting militants' base in search of kidnap victim,2219,discuss
Man Severed Penis That Failed To Impress Girls,1434,discuss
ESPN’s Domestic Abuse Tonight Panel Will Be 100% Dudes,2167,unrelated
Confusion as Cuba’s Castro mourned instead of Kenya’s Fidel,2028,discuss
'Jihadi John': Isis fighter named as Mohammed Emwazi from west London,280,unrelated
Amazon to Open First Brick-and-Mortar Site,2016,unrelated
Rumor: Seth Rogen to Appear as Woz in Sony's Steve Jobs Film,1966,unrelated
Christmas Is Cancelled: Pumpkin Spice Condoms Are a Goddamn Hoax,242,unrelated
Has ISIS used chemical weapons on Kobane? Claims under-siege town was hit by crude rocket attack,1283,unrelated
Insurgents killed in Nigeria despite alleged truce with Boko Haram,1630,discuss
Hundreds mourn the 'death' of Fidel Castro after rumours sweep Twitter (but are they confusing him with recently departed Fidel Castro Odinga from Nairobi?),1832,unrelated
[UPDATED] 11 Men and 0 Women on Tonight's ESPN Domestic Violence Panel,859,unrelated
ISIL militant 'Jihadi John' named by media,1437,unrelated
Report: ISIS Leader Abu Bakr Al-Baghdadi Assassinated In U.S. Airstrike,731,discuss
REPORT: Alleged New Audio of Michael Brown Shooting,2020,unrelated
Married TV actor wakes up to find his testicles have been STOLEN after he is drugged in Russian bar by attractive blonde working for organ traffickers,2343,unrelated
Seth Rogen Is Woz,972,unrelated
Comcast Says You Can Keep Your Tor,132,unrelated
Street Artist BANKSY Arrested? Again?,1437,unrelated
Amazon to Open First Brick-and-Mortar Site,320,unrelated
That powerful Lego letter to parents from the 1970s? It's real,1926,unrelated
Rumors of ISIS leader's death debunked,787,unrelated
80's Brat Pack star Judd Nelson forced to deny that he's dead after fake news story starts trending on social media,1991,unrelated
App brush list actually do so sister you tired it?,796,unrelated
WTC rats scare off Anna Wintour,304,unrelated
A Predator Drone Has Reportedly Been Spotted Circling Above ISIS's Capital City,524,unrelated
The @FoxNewsPress Account Tweeting Lawsuit Threats Is a Fake,787,unrelated
NET Extra: Back-from-the-dead Catholic priest claims God is a female...,2152,unrelated
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,903,unrelated
ISIS Getting Ebola,1122,discuss
ISIS Beheads American Journalist James Foley in Video Message to U.S.,2304,unrelated
Audio recording of Michael Brown being gunned down WAS made at the time he was killed: App company appears to confirm tape of ELEVEN bullets being fired - including final volley of 'kill shots',2234,unrelated
Confusion Surrounds Capture Of “ISIS Leader’s Wife”,205,unrelated
Not coming to a store near you: The pumpkin spice condom,367,unrelated
ISIL video claims beheading of kidnapped journalist James Foley,1251,unrelated
Isis militants claim to have killed US journalist James Foley,115,unrelated
ISIS Border Crisis: DHS Chief Says Terrorists Not Entering US Through Mexico,1637,unrelated
Ottawa gunman identified as 32-year-old Michael Zehaf-Bibeau,125,unrelated
Seth Rogen Is Woz,2141,unrelated
‘Wild Misinformation’: Brian Williams Explains the Mike Seidel Liveshot,775,unrelated
Woman Stays In KFC For A Week To Get Over Her Break-Up,1877,unrelated
Scientists Doubt That Meteor Caused Crater In Nicaragua,1900,unrelated
ISIL Beheads American Photojournalist in Iraq,1786,unrelated
Nigerians doubtful of girls' release after Boko Haram 'truce' breached,1603,unrelated
ISIS fighters 'have contracted Ebola': World Health Organisation investigating reports militants showed up at Iraqi hospital with lethal disease,1034,unrelated
Man discovers spider living under his skin during Bali vacation,962,unrelated
Christian Bale in Talks to Play Steve Jobs in Danny Boyle's Biopic,1844,unrelated
Audio of gunfire in Michael Brown case authenticated by app company,662,unrelated
Homeland Security says terrorists haven't crossed U.S-Mexico border,2039,unrelated
REPORT: Apple's Watch Will Come In 2 Storage Sizes,822,unrelated
REPORT: JETLINERS STOLEN FROM LIBYA COULD BE USED TO ATTACK U.S. ON 9/11,1865,discuss
'Nasa Confirms Earth Will Experience 6 Days of Total Darkness in December' Fake News Story Goes Viral,696,unrelated
Pope says dogs can go to heaven: ‘Paradise is open to all of God’s creatures’,842,unrelated
Seven teenage girls get pregnant on school trip,1103,discuss
80's Brat Pack star Judd Nelson forced to deny that he's dead after fake news story starts trending on social media,2502,unrelated
ISIS Claims To Have Captured US Airdrop Weapons,2016,unrelated
Report: Audio Reveals Pause Between Gunshots When Michael Brown Was Shot,2187,unrelated
Daash Ebola transferred to Mosul {Google Translate],718,unrelated
Canadian official identifies dead Ottawa gunman as Michael Zehaf-Bibeau,2214,discuss
Microsoft Tried Out Robot Security Guards on Its Silicon Valley Campus,1074,unrelated
Man has his PENIS cut off by angry mob after 'attempted rape' of teenager,1808,unrelated
Has Kim's SISTER taken over North Korea? Dictator fails to show for key Communist event (but does send a nice flower basket instead),2177,unrelated
Media outlets identify 'Jihadi John',54,unrelated
REPORT: Alleged New Audio of Michael Brown Shooting,195,unrelated
TBS speeds up Seinfeld a full 7.5 percent - here is the proof,2096,unrelated
ISIS Border Crisis: DHS Chief Says Terrorists Not Entering US Through Mexico,816,unrelated
New Audio Reveals Pause in Gunfire When Michael Brown Was Shot: Attorney,1817,discuss
ISIS Seemingly Beheaded American Journalist James Wright Foley,634,unrelated
How did a Texas plumber's truck end up with Syrian rebels? (+video),116,unrelated
ISIS Claims to Have Intercepted Supplies From U.S. Airdrop,2404,discuss
Amazon plans a streaming-video alternative,609,unrelated
Iraq Denies Lebanon Captured Abu Bakr al-Baghdadi's Wife and Child,1789,unrelated
Christian Bale In Talks To Play Steve Jobs In Sony's Next Biopic,137,unrelated
Is Ebola Virus Spreading Among ISIS Militants? Reports Claim Jihadists Seeking Cure at Mosul Hospital,1921,unrelated
Islamic State Militants Claim to Have Beheaded US Journalist James Wright Foley,524,unrelated
Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.–Mexico Border,1681,unrelated
That ESPN Domestic Violence Panel You Keep Hearing About Isn't Real,1857,unrelated
Nigeria says it has deal with Boko Haram to release kidnapped girls,1603,unrelated
Tourist wakes to find strange red trail on his stomach - and discovers a spider has burrowed through his appendix scar and crawled UNDER his skin while on holiday in Bali,724,unrelated
Nigeria: hopes for return of kidnapped schoolgirls rise after ceasefire reported,955,discuss
Isis claims US hostage Kayla Mueller killed in coalition airstrike,777,unrelated
Christian Bale in Talks to Play Steve Jobs (Exclusive),1323,unrelated
Guantanamo detainee freed in Bowe Bergdahl swap 'back to terrorism',819,unrelated
Wife and son of Islamic State leader Abu Bakr al-Baghdadi detained in Lebanon,2042,unrelated
Canadian-Israeli Woman May Have Been Captured In Syria: Reports,505,unrelated
Hope Fades for Girls' Release After Boko Haram 'Truce' Breached,2403,discuss
Chugging eggnog at office party lands man in hospital,1325,unrelated
Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',737,unrelated
Islamic State releases video apparently showing the beheading of missing US journalist James Foley,1547,unrelated
Kim Jong-un 'set to open a new restaurant in SCOTLAND',2290,unrelated
Ottawa investigates reports that Isis has captured Canadian-Israeli woman,1899,discuss
'Electric Boogie' Developer Leaves Secret Resignation Letter To Boss At The End Of The Game (Video),1372,unrelated
State House time capsule from 1795 unearthed,1997,discuss
Jose Canseco Shot in the Hand During Accidental Shooting at Vegas Home,1580,unrelated
Mexican students not among bodies found in mass graves,2375,unrelated
Bodies In Mexico Mass Grave Apparently Not Those Of Missing Students,1351,unrelated
ISIS fighters seize weapons airdrop meant for Kurds,2448,unrelated
Homeland Security says terrorists haven't crossed U.S-Mexico border,972,unrelated
NBC weatherman caught urinating in the woods live on air,1439,unrelated
'Jihadi John': Isis fighter named as Mohammed Emwazi from west London,2123,discuss
ISIS Fighters Getting Caught Coming Across the U.S.-Mexican Border?,26,unrelated
ISIS Video: America’s Air Dropped Weapons Now in Our Hands,2295,discuss
The Pumpkin-Spice Condom Is Just a Figment of Your Own Gross Imagination,2123,unrelated
Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.–Mexico Border,1398,discuss
Rats are still running around at Vogue,1940,unrelated
WATCH: Twitter catches fire amid rumors of Fidel Castro’s death,1439,unrelated
Report: Nearly a Dozen Commercial Airliners Missing Ahead of 9/11 Anniversary After Islamists Overrun Libyan Airport,1644,unrelated
Missing American journalist reportedly beheaded by Islamic State ,206,discuss
Vogue’s Rat Infestation: Disturbing New Details,1149,discuss
Report: NYPD to stop arresting people for minor marijuana offenses,1295,unrelated
Apple was forced to nix key health features from its smartwatch -- report,521,discuss
Not coming to a store near you: The pumpkin spice condom,608,unrelated
Is Durex Planning To Release A Pumpkin Spice Condom?,609,unrelated
Canadian-Israeli Woman May Have Been Captured In Syria: Reports,1295,discuss
N. Korea’s Kim has leg injury but in control,1148,unrelated
Ottawa gunman identified as 32-year-old Michael Zehaf-Bibeau,1266,unrelated
Boko Haram Denies Nigeria Cease-Fire Claim,1697,unrelated
Is Kim Jong Un's sister Kim Yo Jong in charge?,1268,unrelated
Kim Had Ankle Surgery:  Source,2329,unrelated
"Eyewitness: Viral Video That Netted $130K in Donations ""is Bullshit""",467,unrelated
Police hunting mystery 'slapper' in tweed jacket who attacks people who sneeze in town's high street,678,unrelated
Iraq Says Arrested Woman Is Not The Wife of ISIS Leader al-Baghdadi,72,unrelated
Did Comcast Get a Man Fired From His Job for Complaining About Its Service?,32,unrelated
A bunch of cool health features were cut from the Apple Watch at the last minute,2379,unrelated
ISIS leader ‘killed’ in US airstrikes,1921,unrelated
You all had an abortion! [Google Translate],821,unrelated
UPDATE: Internet report of Ebola outbreak in Purdon not true,1438,unrelated
A Bunch Of Folks Are Passing Around This Hoax Video Of A Bird Pooping On Vladimir Putin,1843,unrelated
Lynch Mob Castrates Alleged Rapist In Rajasthan,689,unrelated
Islamic State releases video apparently showing the beheading of missing US journalist James Foley,1206,discuss
Kidnapped Nigerian schoolgirls: Government claims ceasefire deal with Boko Haram that will bring missing girls home,1541,unrelated
#HairGate: iPhone 6 Customers Are Complaining That The Phone Is Ripping Out Their Hair,1787,unrelated
White House Fence Jumper Actually Made It Pretty Far Inside,1778,unrelated
Has The Batman Vs. Superman Batmobile Been Stolen In Detroit?,1790,unrelated
Give a homeless man $100 and see what he does with it [Video],1107,unrelated
This Is Why Rumors That ISIS Is Crossing The Border Into The U.S. Aren’t Going Away,220,unrelated
GOP Rep. Duncan Hunter Claims 'At Least' 10 ISIS Fighters Apprehended On Texas Border,2252,unrelated
iOS 8 bug could delete your iCloud Drive documents,545,discuss
ISIS Reportedly Beheads U.S. Journalist James Wright Foley on Camera,2524,discuss
Lebanon 'holding IS leader's daughter and ex-wife',1789,unrelated
British hostage David Haines beheaded by Islamic State terrorists,2241,discuss
Fence-jumper made it farther in White House than Secret Service let on,1916,unrelated
ISIS fighters ‘have contracted Ebola’,2078,unrelated
Shocking Photos! Mom Tries To Sell Son To Pay For Daughter's Cancer Treatment,2531,unrelated
WHO ‘probing’ whether ISIS fighters got Ebola,1807,discuss
Electric shock turns Russian boy into Marvel's Magneto,844,unrelated
Identity of ISIS terrorist known as 'Jihadi John' reportedly revealed,1465,unrelated
Detroit Police Issue Statement That The Batmobile Is Safe,1529,discuss
Eggnog-chugging contest leads to hospital stay,1127,unrelated
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,35,unrelated
Emotional sergeant-at-arms is greeted back to parliament with a rousing standing ovation a day after he heroically shot dead terrorist - the first time he used weapon in 30 year career,342,unrelated
Meteorite 'caused mysterious boom in Nicaragua',2192,unrelated
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,1982,unrelated
ISIS Beheads Kidnapped Photojournalist James Wright Foley in Horrific Video Message to the U.S.,1351,unrelated
Audio recording of Michael Brown being gunned down WAS made at the time he was killed: App company appears to confirm tape of ELEVEN bullets being fired - including final volley of 'kill shots',1651,unrelated
Batmobile Stolen From 'Batman V Superman: Dawn Of Justice' Set? Report Claims That One Of The Batmobile Models Is Missing! Detroit Locals Responsible?,1789,unrelated
ISIS KILLS 300 IRAQI SOLDIERS WITH CHLORINE GAS: SHIA MP,1625,unrelated
Mexican investigators fear mass grave might hold 43 missing students,1269,unrelated
The iPhone 6 'Hairgate' Is Not a Thing,513,unrelated
American Predator Drone Circling Islamic State’s Stronghold,1081,unrelated
Video Messaging App Says Audio Recording Of Michael Brown's Shooting Is Authentic,1934,discuss
Seth Rogen Is Woz,388,unrelated
FBI Probing Alleged Audio of Michael Brown Shooting,968,unrelated
1901 Boston time capsule yields small red book,1442,unrelated
'I aborted my baby because it was a boy': Outrage after 'feminist' blogger claims gender prompted termination,843,unrelated
ISIS Militants Allegedly Contracted Ebola,1295,unrelated
Watch US Marine get shot in HEAD by Taliban sniper - and live to tell tale,532,unrelated
Pure Evil: Islamic State Beheads American Journalist James Wright Foley,704,unrelated
Michael Brown shooting audio caught on tape?,149,discuss
Seven teenage girls get pregnant on school trip,1221,unrelated
VIDEO: Son Stuns Parents By Paying Off Their Mortgage As Christmas Surprise,2036,discuss
Kim Jong-Un planning Scottish restaurant,773,unrelated
YPG Confirms: Gill Rosenberg Not Captured in Kobani,1476,unrelated
New iOS 8 bug can delete all of your iCloud documents,1740,unrelated
James Foley beheading: London rapper turned jihadist believed to be under investigation for murder of journalist in Syria,975,unrelated
Homeless man receives $100... then shocks everyone with how he spends it,1934,unrelated
Has Ebola infected Isis militants in Mosul?,1807,discuss
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,1948,discuss
Media outlets identify 'Jihadi John',2349,discuss
US Marine survives headshot from Taliban (video),2389,unrelated
Luke Somers 'killed in failed rescue attempt in Yemen',1165,unrelated
Michael Abdul Zehaf Bibeau Pictures: Photos of Alleged ISIS-Linked Gunman in Canada,1266,unrelated
One of 'Taliban Five' in Bowe Bergdahl swap allegedly returned to militancy,1398,unrelated
Isis claims to behead US journalist,1351,unrelated
ISIS Reportedly Beheads U.S. Journalist James Wright Foley on Camera,1786,unrelated
Shots Heard In Alleged Brown Shooting Recording [AUDIO],2256,unrelated
Attorney: New audio reveals pause in gunfire when Michael Brown was shot,958,unrelated
ISIS Militants Allegedly Contracted Ebola,2525,unrelated
Audio of gunfire in Michael Brown case authenticated by app company,1435,unrelated
eBay developing Apple Watch software with ties to iOS app,1393,unrelated
'The youngest martyr - the cub of al-Baghdadi': ISIS boasts a 10-year-old fighter has been killed as he went into battle with his father in Syria,1863,unrelated
Batmobile wasn't stolen: Cops,1807,unrelated
Small Meteorite Strikes in Nicaragua's Capital City of Managua,1183,unrelated
Texas City plumber's truck ends up in Syrian war,121,unrelated
Dog abandoned at Scotland train station with suitcase,258,unrelated
WATCH: Twitter catches fire amid rumors of Fidel Castro’s death,1853,unrelated
A Predator Drone Has Reportedly Been Spotted Circling Above ISIS's Capital City,1900,unrelated
Homeland Security: No ISIL fighters on U.S. border,1740,unrelated
James Foley remembered as 'brave and tireless' journalist,984,unrelated
White House Fence Jumper Pushed Past Female Guard,1426,unrelated
New Rumour Suggests Apple Watch to Launch in February,320,unrelated
Abdel-Majed Abdel Bary: London Rapper Identified As ISIS Militant Who Beheaded James Foley,913,unrelated
Boko Haram denies it has agreed ceasefire,2139,discuss
Sugarhill Gang rapper Big Bank Hank dies aged 57,1458,unrelated
Video Purports To Show Beheading Of U.S. Journalist By Militants,1011,discuss
The pumpkin spice condom is not happening,1853,unrelated
Canadian Michael Zehaf-Bibeau thought to be the gunman in Ottawa shooting,205,unrelated
Homeless man who received a meal and hotel stay after spending $100 donation on food for friends insists it was NOT a hoax – despite new witness insisting there was no way he could have been secretly filmed,2240,unrelated
Giant 8ft 9in catfish weighing 19 stone caught in Italy is thought to be the biggest ever reeled in with a rod and line,612,unrelated
NBC weatherman caught urinating in the woods live on air,2419,unrelated
Rumor: Seth Rogen to Appear as Woz in Sony's Steve Jobs Film,646,unrelated
The Pumpkin-Spice Condom Is Just a Figment of Your Own Gross Imagination,2152,unrelated
ISIS Militant “Jihadi John” Identified As Young West Londoner,530,unrelated
Sugarhill Gang rapper Big Bank Hank dies at age 57,1572,unrelated
Jihadi John UNMASKED: Islamic State killer NAMED as west Londoner Mohammed Emwazi,2123,discuss
Street Artist BANKSY Arrested? Again?,900,discuss
Kim Jong-Un planning Scottish restaurant,1022,unrelated
Pumpkin Spice Condoms Could Be The Only Thing To Save The World From Basic Children,550,discuss
New Audio Recording From Ferguson May Capture Michael Brown Shooting,2020,unrelated
Man Chops Off and Throws Away His Small Penis After Bad Breakup,1347,unrelated
Has this Argentine woman fallen victim to a cruel online hoax? Adult video claiming to show teacher having sex with pupil isn't all it seems,1496,discuss
Bergdahl: Senator Says Jihadists Swapped For U.S. Troop ‘In Touch’ With Al-Qaida Affiliate,773,discuss
Steve Jobs Biopic Eyes Seth Rogen to Play Apple Co-Founder Steve Wozniak,1707,unrelated
The Apple Watch has a low-power mode that only tells the time,1197,unrelated
CNN Airs Alleged Audio from Michael Brown Shooting,1446,discuss
North Korea directive reveals apparent ban on sharing Kim Jong-un’s name,2143,unrelated
A Man Says Comcast Called His Boss And Got Him Fired After He Complained About Its Service,86,unrelated
N Korean leader misses annual ritual; sister ‘takes over duties’,780,discuss
Scorned wife leaves love-rat husband and twin sister NAKED in car park,1828,unrelated
Sources: Guns N' Roses Frontman Axl Rose Found Dead in West Hollywood Home at Age 52,608,unrelated
Canadian-Israeli Woman Says She Hasn’t Been Captured By ISIS,513,unrelated
ISIS Border Crisis: DHS Chief Says Terrorists Not Entering US Through Mexico,1483,unrelated
Seth Rogen to play Woz in Jobs biopic,299,unrelated
Lebanon 'holding IS leader's daughter and ex-wife',77,unrelated
ISIS Appears To Behead American Photojournalist In YouTube Video,1720,unrelated
Nigerians doubtful of girls' release after Boko Haram 'truce' breached,1630,discuss
Ottawa Gunman Identified As Michael Zehaf-Bibeau,1751,unrelated
WHO says reports of suspected Ebola cases in Iraq are untrue,2268,unrelated
Boko Haram denies ceasefire claim by Nigeria's government,1883,unrelated
Alleged Ottawa gunman: What we know so far about Michael Zehaf-Bibeau,2302,unrelated
Airport worker strips naked at Russian airport,1651,unrelated
Setting the record straight on tor,755,unrelated
This Selfless Homeless Man Receives $100 & Doesn't Spend A Dime On Himself!,855,unrelated
Luke Somers' sister says he was killed in failed Yemen rescue attempt,2015,unrelated
Apple Watch battery will require nightly charging,830,unrelated
Ottawa shooting: Sergeant-at-arms Kevin Vickers hailed a hero for shooting rampaging gunman,2404,unrelated
Nigeria and Boko Haram 'agree ceasefire and girls' release',2096,unrelated
Pentagon: 1 weapons bundle seized by militants,2509,discuss
REPORT: Alleged New Audio of Michael Brown Shooting,2187,unrelated
There has been a shooting at the War Memorial on Parliament Hill. Unconfirmed reports say a soldier was shot.,2338,unrelated
Cameron vows to hunt down IS 'monsters' after Haines murder,1011,unrelated
GOP Rep. Duncan Hunter Claims 'At Least' 10 ISIS Fighters Apprehended On Texas Border,1502,unrelated
Kim Had Ankle Surgery:  Source,2327,unrelated
This College Student Claims She Was The 'Teletubbies' Sun Baby,1832,unrelated
Source: Tom Brokaw Wants Brian Williams Fired,2370,unrelated
Apple May Or May Not Hold An Event On The 24th Of February [Rumor],660,discuss
REPORT: JETLINERS STOLEN FROM LIBYA COULD BE USED TO ATTACK U.S. ON 9/11,1438,unrelated
ISIL allegedly kills US journalist in video,1347,unrelated
Report: Apple Watch to Ship in March,670,unrelated
Missing Planes,2010,discuss
Did a Meteorite Impact in Nicaragua over the Weekend?,269,unrelated
Boko Haram ceasefire ignored as violence flares in Borno state,2403,discuss
This Is What The Sun Baby From ‘Teletubbies’ Looks Like Now,2371,discuss
Abdel-Majed Abdel Bary in Foley beheading: London rapper songs help identify him,2434,unrelated
Report of quarantined Texas town NOT real; shared on a 'fake' news website,26,unrelated
James Foley executioner said identified as British rapper  Read more: James Foley executioner said identified as British rapper,1598,discuss
Isis tells mother on rescue mission :’You’ve just eaten your son’,1956,discuss
REPORT: Alleged New Audio of Michael Brown Shooting,2220,discuss
Isis militants claim to have killed US journalist James Foley,511,unrelated
Isis claims to behead US journalist,826,unrelated
IRAQI HEALTH OFFICIAL: EBOLA HAS KILLED 5 ISIS FIGHTERS,2197,unrelated
Officials Refute Iraqi Media Reports That ISIS Members Have Contracted Ebola In Mosul,93,unrelated
This Is Why Rumors That ISIS Is Crossing The Border Into The U.S. Aren’t Going Away,2261,discuss
Missing jetliners raise fear of new 9/11-style attacks after Libyan airport falls to Islamic militants,2317,unrelated
Iraqi and Kurdish media reports cases of Ebola among Islamic State fighters in Mosul,1438,unrelated
Experts: More facts needed on purported audio recording of Michael Brown shooting,2354,unrelated
Man discovers spider living under his skin during Bali vacation,2338,discuss
Government fires employee who skipped work for 24 years,1323,unrelated
Soldier shot at War Memorial; multiple shots fired in Parliament,2410,discuss
Pope says dogs can go to heaven: ‘Paradise is open to all of God’s creatures’,2348,unrelated
WHO ‘probing’ whether ISIS fighters got Ebola,1385,unrelated
Comcast blocks Tor,1104,unrelated
ISIS Claims To Have Captured US Airdrop Weapons,1648,unrelated
Small Meteorite Strikes in Nicaragua's Capital City of Managua,2118,unrelated
James Foley executioner said identified as British rapper  Read more: James Foley executioner said identified as British rapper,1549,unrelated
CNN Airs Alleged Audio from Michael Brown Shooting,1252,unrelated
ISIS militants appear to behead abducted American journalist James Wright Foley in graphic video,7,unrelated
Boko Haram 'to release abducted schoolgirls' as part of ceasefire agreement,2463,discuss
Did Paul Rudd Help Tackle That Dallas Airport Gay-Basher?,837,unrelated
ISIS Leader Killed: Abu Bakr Al-Baghdadi Reportedly Killed By U.S. Airstrike,1871,unrelated
This resignation letter in a video-game could be the greatest ever,2185,discuss
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,1009,unrelated
Al-Shabaab co-founder confirmed killed by US air strike in Somalia,36,unrelated
Texas plumber's truck spotted in Syria: 'We have nothing to do with terror at all',2020,unrelated
6 hidden mass graves may hold missing Mexican students,1351,unrelated
Pentagon: Somali terror group leader killed in U.S. airstrike,1869,unrelated
FBI Probing Alleged Audio of Michael Brown Shooting,1893,unrelated
ISIS Militant “Jihadi John” Identified As Young West Londoner,304,unrelated
Missing Planes,1644,unrelated
IS Fighters Seize Weapons Cache Meant for Kurds,1938,unrelated
Biological Warfare on the Horizon? ISIS Soldiers May Be Infected With Ebola,568,unrelated
